,data,godzina,dom,wyjazd,wynik
302,1992-06-21,,Zawisza Bydgoszcz,GKS Katowice,2:3
303,1992-06-21,,Zagłębie Sosnowiec,Motor Lublin,2:5
304,1992-06-21,,Legia Warszawa,ŁKS Łódź,1:0
305,1992-06-21,,Olimpia Poznań,Hutnik Kraków,3:3
306,1993-07-24,,Lech Poznań,Pogoń Szczecin,1:1
307,1993-07-24,,Widzew Łódź,Siarka Tarnobrzeg,2:1
308,1993-07-24,,FKS Stal Mielec,Hutnik Kraków,1:0
309,1993-07-24,,Legia Warszawa,Zagłębie Lubin,2:2
310,1993-07-24,,Ruch Chorzów,Górnik Zabrze,3:1
311,1993-07-24,,GKS Katowice,Polonia Warszawa,3:1
312,1993-07-24,,Wisła Kraków,TS Tygodnik Miliarder Pniewy,1:1
313,1993-07-24,,Stal Stalowa Wola,ŁKS Łódź,0:0
314,1993-07-24,,Zawisza Bydgoszcz,Warta Poznań,0:1
315,1993-07-28,,Pogoń Szczecin,Warta Poznań,2:0
316,1993-07-28,,ŁKS Łódź,Zawisza Bydgoszcz,2:0
317,1993-07-28,,TS Tygodnik Miliarder Pniewy,Stal Stalowa Wola,0:0
318,1993-07-28,,Polonia Warszawa,Wisła Kraków,1:2
319,1993-07-28,,Górnik Zabrze,GKS Katowice,4:2
320,1993-07-28,,Zagłębie Lubin,Ruch Chorzów,1:0
321,1993-07-28,,Hutnik Kraków,Legia Warszawa,0:0
322,1993-07-28,,Siarka Tarnobrzeg,FKS Stal Mielec,3:1
323,1993-07-28,,Lech Poznań,Widzew Łódź,3:1
324,1993-07-31,,Widzew Łódź,Pogoń Szczecin,0:0
325,1993-07-31,,FKS Stal Mielec,Lech Poznań,1:0
326,1993-07-31,,Legia Warszawa,Siarka Tarnobrzeg,6:3
327,1993-07-31,,Ruch Chorzów,Hutnik Kraków,0:0
328,1993-07-31,,GKS Katowice,Zagłębie Lubin,1:0
329,1993-07-31,,Wisła Kraków,Górnik Zabrze,1:1
330,1993-07-31,,Stal Stalowa Wola,Polonia Warszawa,2:2
331,1993-07-31,,Zawisza Bydgoszcz,TS Tygodnik Miliarder Pniewy,3:1
332,1993-07-31,,Warta Poznań,ŁKS Łódź,2:0
